Timestamp,Memory_Usage_%,Memory_Used_MB,Disk_Usage_%,CPU_Usage_%,Net_In_KB/s,Net_Out_KB/s,gpu_0_util_%,gpu_0_mem_used_mb,gpu_0_mem_total_mb,gpu_1_util_%,gpu_1_mem_used_mb,gpu_1_mem_total_mb,gpu_2_util_%,gpu_2_mem_used_mb,gpu_2_mem_total_mb,gpu_3_util_%,gpu_3_mem_used_mb,gpu_3_mem_total_mb
2026-04-09 14:07:53,16.75,43133.0,51.0,8.4,0,0,21,3525,49140,99,2615,49140,0,20,49140,3,25369,49140
2026-04-09 14:08:00,16.76,43158.0,51.0,16.3,0,0,32,3525,49140,99,2615,49140,0,20,49140,41,25369,49140
2026-04-09 14:08:06,16.76,43165.0,51.0,7.2,0,0,16,3529,49140,33,2615,49140,0,20,49140,25,25367,49140
2026-04-09 14:08:12,16.75,43149.0,51.0,24.7,0,0,19,3525,49140,100,2615,49140,0,20,49140,47,25369,49140
2026-04-09 14:08:19,16.76,43159.0,51.0,28.5,0,0,19,3525,49140,0,2615,49140,0,20,49140,10,25367,49140
2026-04-09 14:08:25,16.76,43169.0,51.0,20.9,0,0,58,3525,49140,100,2615,49140,0,20,49140,7,25367,49140
2026-04-09 14:08:32,16.87,43450.0,51.0,14.4,0,0,28,3525,49140,0,2615,49140,0,20,49140,16,25367,49140
2026-04-09 14:08:38,16.95,43653.0,51.0,10.6,0,0,59,3525,49140,100,2615,49140,0,20,49140,13,25367,49140
2026-04-09 14:08:45,16.95,43647.0,51.0,17.9,0,0,21,3525,49140,0,2615,49140,0,20,49140,10,25369,49140
2026-04-09 14:08:51,16.96,43674.0,51.0,18.1,0,0,57,3525,49140,100,2615,49140,0,20,49140,31,25369,49140
2026-04-09 14:08:58,16.97,43695.0,51.0,9.5,0,0,23,3525,49140,0,2615,49140,0,20,49140,3,25367,49140
2026-04-09 14:09:04,16.96,43680.0,51.0,26.7,0,0,33,3525,49140,100,2615,49140,0,20,49140,17,25369,49140
2026-04-09 14:09:11,16.97,43717.0,51.0,9.9,0,0,35,3525,49140,100,2615,49140,0,20,49140,9,25367,49140
2026-04-09 14:09:17,16.98,43727.0,51.0,11.1,0,0,46,3525,49140,100,2615,49140,0,20,49140,4,25367,49140
2026-04-09 14:09:23,16.98,43731.0,51.0,10.0,0,0,71,3525,49140,100,2615,49140,0,20,49140,3,25367,49140
2026-04-09 14:09:30,16.99,43758.0,51.0,10.2,0,0,22,3525,49140,100,2615,49140,0,20,49140,65,25367,49140
2026-04-09 14:09:36,16.99,43758.0,51.0,8.4,0,0,24,3525,49140,100,2615,49140,0,20,49140,55,25367,49140
2026-04-09 14:09:43,16.98,43745.0,51.0,17.3,0,0,22,3525,49140,100,2615,49140,0,20,49140,4,25367,49140
2026-04-09 14:09:49,17.0,43774.0,51.0,15.0,0,0,29,3525,49140,99,2615,49140,0,20,49140,56,25369,49140
2026-04-09 14:09:56,16.99,43755.0,51.0,13.1,0,0,21,3525,49140,100,2615,49140,0,20,49140,80,25369,49140
2026-04-09 14:10:02,17.0,43775.0,51.0,20.4,0,0,60,3525,49140,100,2615,49140,0,20,49140,18,25369,49140
2026-04-09 14:10:09,17.01,43806.0,51.0,22.3,0,0,32,3525,49140,24,2615,49140,0,20,49140,3,25369,49140
2026-04-09 14:10:15,17.02,43830.0,51.0,12.9,0,0,64,3525,49140,100,2615,49140,0,20,49140,32,25367,49140
2026-04-09 14:10:21,16.91,43545.0,51.0,7.7,0,0,63,3525,49140,0,2615,49140,0,20,49140,4,25367,49140
2026-04-09 14:10:28,16.9,43524.0,51.0,16.6,0,0,23,3525,49140,53,2615,49140,0,20,49140,47,25367,49140
2026-04-09 14:10:34,16.91,43545.0,51.0,19.3,0,0,46,3525,49140,0,2615,49140,0,20,49140,3,25367,49140
2026-04-09 14:10:41,16.93,43599.0,51.0,17.1,0,0,31,3525,49140,100,2615,49140,0,20,49140,3,25367,49140
2026-04-09 14:10:47,16.91,43564.0,51.0,10.6,0,0,33,3525,49140,17,2615,49140,0,20,49140,4,25367,49140
2026-04-09 14:10:54,16.91,43548.0,51.0,16.8,0,0,40,3525,49140,100,2615,49140,0,20,49140,81,25367,49140
2026-04-09 14:11:00,16.92,43569.0,51.0,18.2,0,0,17,3525,49140,0,2615,49140,0,20,49140,19,25369,49140
2026-04-09 14:11:07,16.91,43541.0,51.0,9.1,0,0,23,3525,49140,100,2615,49140,0,20,49140,8,25369,49140
2026-04-09 14:11:13,16.9,43536.0,51.0,11.2,0,0,37,3525,49140,0,2615,49140,0,20,49140,3,25367,49140
